Brand,Model,Price,Released,Mass,Platform,Operating System,CPU Clock,Processor,Processor Score,RAM Capacity (converted),Non-volatile Memory Capacity (converted),RAM Type,Display Diagonal,Resolution,Pixel Density,Display Type,Graphical Controller,GPU Scores,Microphone(s),Loudpeaker(s):,Audio Output:,Expansion Interfaces,USB Connector,Max. Charging Power:,Nominal Battery Capacity,Image Sensor Pixel Size,No. of effective pixels,Aperture (W),Camera Extra Functions,Camera Extra Feat.,Secondary No. of pixels,Built-in compass,Built-in gyroscope,Voice Command,Augmented Reality (AR),Intelligent personal assistant,Voice Recognition,Face Recognition,Barometer,In-screen fingerprint sensor,Hall,Heart rate sensor,Fingerprint sensor,Light sensor,Proximity sensor,Step counter,Display_Score,Performance_Score,Camera_Score,Battery_Score,Camera Prefs,Battery Prefs,Performance Prefs,Display Prefs
Apple,iPhone 12 Pro 5G A2407 Global Dual SIM TD-LTE 256GB,129900,20-Nov,187,iOS,Apple iOS 14.1,2990,A14 Bionic,581084,6,256,5,153.92,1170x2532,460,1,Apple A14 Bionic GPU,214966,3,2,0,0,0,20,2815,1.4,12.2,1.6,"EIS (video)
  , OIS
  , OIS (video)
  , HDR photo
  , HDR video
  , Red-eye reduction
  , Slow motion video
  , Burst mode
  , Touch focus
  , Macro mode
  , Panorama Photo
  , Face detection
  , Face tagging
  , Smile detection
  , Face retouch
  , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,46001,836950,8900,22815,1795766,3173351,83772716,5468765
Apple,iPhone 12 Pro 5G A2407 Global Dual SIM TD-LTE 512GB,149000,20-Nov,187,iOS,Apple iOS 14.1,2990,A14 Bionic,581084,6,512,5,153.92,1170x2532,460,1,Apple A14 Bionic GPU,214966,3,2,0,0,0,20,2815,1.4,12.2,1.6,"EIS (video)
  , OIS
  , OIS (video)
  , HDR photo
  , HDR video
  , Red-eye reduction
  , Slow motion video
  , Burst mode
  , Touch focus
  , Macro mode
  , Panorama Photo
  , Face detection
  , Face tagging
  , Smile detection
  , Face retouch
  , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,46001,836950,8900,22815,1795766,3173351,83772716,5468765
Apple,iPhone 12 Pro Max 5G A2411 Global Dual SIM TD-LTE 128GB,129900,20-Nov,226,iOS,Apple iOS 14.1,2990,A14 Bionic,581084,6,128,5,169.7,1284x2778,458,1,Apple A14 Bionic GPU,214966,3,2,0,0,0,20,3687,1.7,12.2,1.6,"EIS (video)
  , OIS
  , OIS (video)
  , HDR photo
  , HDR video
  , Red-eye reduction
  , Slow motion video
  , Burst mode
  , Touch focus
  , Macro mode
  , Panorama Photo
  , Face detection
  , Face tagging
  , Smile detection
  , Face retouch
  , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,45801,836950,9200,23687,1826438,3260651,83773688,5449937
Apple,iPhone 12 Pro Max 5G A2411 Global Dual SIM TD-LTE 256GB,139900,20-Nov,226,iOS,Apple iOS 14.1,2990,A14 Bionic,581084,6,256,5,169.7,1284x2778,458,1,Apple A14 Bionic GPU,214966,3,2,0,0,0,20,3687,1.7,12.2,1.6,"EIS (video)
  , OIS
  , OIS (video)
  , HDR photo
  , HDR video
  , Red-eye reduction
  , Slow motion video
  , Burst mode
  , Touch focus
  , Macro mode
  , Panorama Photo
  , Face detection
  , Face tagging
  , Smile detection
  , Face retouch
  , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,45801,836950,9200,23687,1826438,3260651,83773688,5449937
Apple,iPhone 12 Pro Max 5G A2411 Global Dual SIM TD-LTE 512GB,159900,20-Nov,226,iOS,Apple iOS 14.1,2990,A14 Bionic,581084,6,512,5,169.7,1284x2778,458,1,Apple A14 Bionic GPU,214966,3,2,0,0,0,20,3687,1.7,12.2,1.6,"EIS (video)
  , OIS
  , OIS (video)
  , HDR photo
  , HDR video
  , Red-eye reduction
  , Slow motion video
  , Burst mode
  , Touch focus
  , Macro mode
  , Panorama Photo
  , Face detection
  , Face tagging
  , Smile detection
  , Face retouch
  , Intelligent scene detection",16,12.2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,45801,836950,9200,23687,1826438,3260651,83773688,5449937
Apple,iPhone SE 2020 2nd gen A2296 Global Dual SIM TD-LTE 128GB,39900,20-Apr,148,iOS,Apple iOS 13.4,2650,A13 Bionic,472507,3,128,4,119.5,750x1334,325,0,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,1821,1.22,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,7.2,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,32500,714704,7886.666667,19821,1555691.667,2737190.667,71530607.67,3992411.667
Apple,iPhone SE 2020 2nd gen A2296 Global Dual SIM TD-LTE 256GB,49900,20-Apr,148,iOS,Apple iOS 13.4,2650,A13 Bionic,472507,3,256,4,119.5,750x1334,325,0,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,1821,1.22,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,7.2,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,32500,714704,7886.666667,19821,1555691.667,2737190.667,71530607.67,3992411.667
Apple,iPhone SE 2020 2nd gen A2296 Global Dual SIM TD-LTE 64GB,34900,20-Apr,148,iOS,Apple iOS 13.4,2650,A13 Bionic,472507,3,64,4,119.5,750x1334,325,0,Apple A13 Bionic GPU,208697,3,2,0,0,0,18,1821,1.22,12.2,1.8,"EIS (video)
 , OIS
 , OIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Intelligent scene detection",16,7.2,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,32500,714704,7886.666667,19821,1555691.667,2737190.667,71530607.67,3992411.667
Asus,ROG Phone 3 5G Premium Edition Dual SIM TD-LTE IN Version B 256GB 12GB ZS661KS,54999,20-Aug,240,Android,Google Android 10 (Q),3091,Snapdragon 865 Plus,614305,12,256,4,167.39,1080x2340,391,1,Qualcomm Adreno 650,146854,4,2,0,0,1,30,6000,0.8,64,1.79,"EIS
 , EIS (video)
 , Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",18,24,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,39101,808069,7503.910615,36000,1633561.062,4454673.911,80889504.91,4761672.911
Asus,ROG Phone 3 5G Premium Edition Dual SIM TD-LTE IN Version B 128GB 12GB ZS661KS,49999,20-Aug,240,Android,Google Android 10 (Q),3091,Snapdragon 865 Plus,614305,12,128,4,167.39,1080x2340,391,1,Qualcomm Adreno 650,146854,4,2,0,0,1,30,6000,0.8,64,1.79,"EIS
 , EIS (video)
 , Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",18,24,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,39101,808069,7503.910615,36000,1633561.062,4454673.911,80889504.91,4761672.911
Asus,ROG Phone 3 5G Premium Edition Dual SIM TD-LTE IN Version B 128GB 8GB ZS661KS,46999,20-Aug,240,Android,Google Android 10 (Q),3091,Snapdragon 865 Plus,614305,8,128,4,167.39,1080x2340,391,1,Qualcomm Adreno 650,146854,4,2,0,0,1,30,6000,0.8,64,1.79,"EIS
 , EIS (video)
 , Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",18,24,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,39101,804069,7503.910615,36000,1629561.062,4450673.911,80489504.91,4757672.911
Asus,ROG Phone 3 5G Standard Edition Dual SIM TD-LTE IN Version B 128GB ZS661KS,39999,20-Aug,240,Android,Google Android 10 (Q),3091,Snapdragon 865 Plus,614305,8,128,4,167.39,1080x2340,391,1,Qualcomm Adreno 650,146854,4,2,0,0,1,30,6000,0.8,64,1.79,"EIS
 , EIS (video)
 , Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",18,24,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,39101,804069,7503.910615,36000,1629561.062,4450673.911,80489504.91,4757672.911
Asus,ROG Phone II Global Dual SIM TD-LTE 512GB ZS660KL,62999,19-Sep,240,Android,Google Android 9.0 (Pie),2960,Snapdragon 855 Plus,470592,12,512,4,167.39,1080x2340,391,1,Qualcomm Adreno 640,106829,4,2,1,0,1,30,6000,0.8,48,1.79,"EIS
 , EIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",17,24,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,39101,623021,7503.910615,36000,1448513.062,4269625.911,62384704.91,4576624.911
Asus,ROG Phone II Strix Edition Global Dual SIM TD-LTE 128GB ZS660KL,40999,19-Dec,240,Android,Google Android 9.0 (Pie),2960,Snapdragon 855 Plus,470592,8,128,4,167.39,1080x2340,391,1,Qualcomm Adreno 640,106829,4,2,1,0,1,30,6000,0.8,48,1.79,"EIS
 , EIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",17,24,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,39101,619021,7503.910615,36000,1444513.062,4265625.911,61984704.91,4572624.911
Asus,ROG Phone II Ultimate Edition Global Dual SIM TD-LTE 1TB ZS660KL,211137,19-Dec,240,Android,Google Android 9.0 (Pie),2960,Snapdragon 855 Plus,470592,12,1000,4,167.39,1080x2340,391,1,Qualcomm Adreno 640,106829,4,2,1,0,1,30,6000,0.8,48,1.79,"EIS
 , EIS (video)
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",17,24,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,39101,623021,7503.910615,36000,1448513.062,4269625.911,62384704.91,4576624.911
Asus,ZenFone 6 2019 Global Dual SIM TD-LTE Version A ZS630KL 256GB / 6z,34999,19-Jul,190,Android,Google Android 9.0 (Pie),2842,Snapdragon 855,422995,8,256,4,162.3,1080x2340,403,0,Qualcomm Adreno 640,106829,2,2,1,1,1,18,5000,0.8,48,1.79,"EIS
 , EIS (video)
 , Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",18,13,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,40300,570244,7503.910615,23000,1383935.062,2918047.911,57095203.91,4630747.911
BBK,Vivo iQOO 3 5G Top Edition Global Dual SIM TD-LTE 256GB I1928,44990,20-Mar,214.5,Android,Google Android 10 (Q),2840,Snapdragon 865,581363,12,256,5,163.6,1080x2400,409,1,Qualcomm Adreno 650,146854,2,1,1,0,1,55,4440,0.8,48,1.79,"EIS
 , EIS (video)
 , Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",17,16.2,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,40901,773617,7503.910615,59440,1624349.062,6766021.911,77469544.91,4930660.911
BBK,Vivo iQOO 3 Premium Edition Global Dual SIM TD-LTE 128GB I1927,29990,20-Mar,214.5,Android,Google Android 10 (Q),2840,Snapdragon 865,581363,8,128,5,163.6,1080x2400,409,1,Qualcomm Adreno 650,146854,2,1,1,0,1,55,4440,0.8,48,1.79,"EIS
 , EIS (video)
 , Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",17,16.2,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,40901,769617,7503.910615,59440,1620349.062,6762021.911,77069544.91,4926660.911
BBK,Vivo iQOO 3 Premium Edition Global Dual SIM TD-LTE 256GB I1927,32990,20-Mar,214.5,Android,Google Android 10 (Q),2840,Snapdragon 865,581363,8,256,5,163.6,1080x2400,409,1,Qualcomm Adreno 650,146854,2,1,1,0,1,55,4440,0.8,48,1.79,"EIS
 , EIS (video)
 , Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",17,16.2,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,40901,769617,7503.910615,59440,1620349.062,6762021.911,77069544.91,4926660.911
BBK,Vivo S1 Dual SIM TD-LTE IN 128GB 1907,17200,19-Aug,179,Android,Google Android 9.0 (Pie),2000,Helio P65,183182,6,128,4,162,1080x2340,404,1,ARM Mali-G52 MP2,23875,2,1,1,1,0,18,4500,1.12,15.9,1.78,"HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection",12,32,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,40401,237057,7861.573034,22500,1086115.303,2535319.573,23776462.57,4307518.573
BBK,Vivo S1 Dual SIM TD-LTE IN 64GB 1907,14990,19-Aug,179,Android,Google Android 9.0 (Pie),2000,Helio P65,183182,4,64,4,162,1080x2340,404,1,ARM Mali-G52 MP2,23875,2,1,1,1,0,18,4500,1.12,15.9,1.78,"HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection",12,32,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,40401,235057,7861.573034,22500,1084115.303,2533319.573,23576462.57,4305518.573
BBK,Vivo S1 Pro Dual SIM TD-LTE MY VN IN 128GB 1920,18990,19-Nov,186.7,Android,Google Android 9.0 (Pie),2000,Snapdragon 665,143390,8,128,4,162,1080x2340,404,1,Qualcomm Adreno 610,24816,2,1,1,1,1,18,4500,0.8,48,1.8,"Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",15,32,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,40401,200206,7466.666667,22500,1009773.667,2498073.667,20090967.67,4270272.667
BBK,Vivo U10 Premium Edition Dual SIM TD-LTE IN 64GB 1916,12990,19-Sep,190.5,Android,Google Android 9.0 (Pie),2000,Snapdragon 665,143390,4,64,4,161.5,720x1544,268,0,Qualcomm Adreno 610,24816,2,1,1,1,0,18,5000,1.12,13,2.2,"HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",14,8,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,26800,196206,6574.545455,23000,903460.5455,2529580.545,19676974.55,2905780.545
BBK,Vivo U10 Standard Edition Dual SIM TD-LTE IN 32GB 1916,9990,19-Sep,190.5,Android,Google Android 9.0 (Pie),2000,Snapdragon 665,143390,3,32,4,161.5,720x1544,268,0,Qualcomm Adreno 610,24816,2,1,1,1,0,18,5000,1.12,13,2.2,"HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",14,8,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,26800,195206,6574.545455,23000,902460.5455,2528580.545,19576974.55,2904780.545
BBK,Vivo U10 Standard Edition Dual SIM TD-LTE IN 64GB 1916,11980,19-Sep,190.5,Android,Google Android 9.0 (Pie),2000,Snapdragon 665,143390,3,64,4,161.5,720x1544,268,0,Qualcomm Adreno 610,24816,2,1,1,1,0,18,5000,1.12,13,2.2,"HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",14,8,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,26800,195206,6574.545455,23000,902460.5455,2528580.545,19576974.55,2904780.545
BBK,Vivo U20 Standard Edition Dual SIM TD-LTE IN 64GB 1921,11749,19-Dec,193,Android,Google Android 9.0 (Pie),2000,Snapdragon 675,200150,4,64,4,165.8,1080x2340,395,0,Qualcomm Adreno 612,26541,2,1,1,1,0,18,5000,1.12,15.9,1.78,"HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Touch focus
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection
 , Face retouch
 , Face retouch (video)
 , Intelligent scene detection",13,15.9,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,39500,254691,7861.573034,23000,1103348.303,2602052.573,25539461.57,4235552.573
BBK,Vivo V15 Dual SIM TD-LTE IN ID TH NP 128GB,17999,19-Mar,189.5,Android,Google Android 9.0 (Pie),2100,Helio P70,189114,6,128,4,165.86,1080x2340,395,0,ARM Mali-G72 MP3,20615,2,1,1,1,0,10,4000,0.8,12,1.78,"Pixel unification
 , HDR photo
 , HDR video
 , Red-eye reduction
 , Slow motion video
 , Burst mode
 , Refocus
 , Touch focus
 , Macro mode
 , Panorama Photo
 , Face detection
 , Face tagging
 , Smile detection",13,32,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,39500,240729,7541.573034,14000,1048386.303,1687770.573,24133941.57,4212270.573
